region,evento_day,evento_month,evento_year
Murcia,18.0,4.0,2019.0
Lleida,22.0,10.0,2019.0
Murcia,19.0,1.0,2017.0
A Corua,24.0,1.0,2017.0
Len,3.0,2.0,2017.0
Madrid,3.0,2.0,2017.0
Ourense,3.0,2.0,2017.0
Len,3.0,2.0,2017.0
A Corua,4.0,2.0,2017.0
Murcia,10.0,3.0,2017.0
Madrid,10.0,3.0,2017.0
Albacete,13.0,3.0,2017.0
Crdoba,18.0,4.0,2017.0
Ciudad Real,25.0,4.0,2017.0
Madrid,25.0,4.0,2017.0
Huelva,27.0,4.0,2017.0
Ourense,9.0,5.0,2017.0
Lleida,25.0,5.0,2017.0
Girona,30.0,6.0,2017.0
Crdoba,13.0,7.0,2017.0
Tarragona,23.0,7.0,2017.0
Len,2.0,10.0,2017.0
Zamora,5.0,10.0,2017.0
Len,5.0,10.0,2017.0
Madrid,5.0,1.0,2021.0
Huelva,17.0,6.0,2021.0
Crdoba,14.0,8.0,2021.0
Crdoba,15.0,8.0,2021.0
Tarragona,1.0,9.0,2021.0
A Corua,13.0,9.0,2021.0
Huelva,23.0,9.0,2021.0
Huelva,4.0,3.0,2018.0
