state_province,clima
Illes Balears,Mediterraneo
Tarragona,Mediterraneo
Barcelona,Mediterraneo
A Corua,Oceanico
Lleida,Mediterraneo
Ourense,Oceanico
Murcia,Semidesertico
Girona,Mediterraneo
Ciudad Real,Mediterraneo
Las Palmas,Subtropical
Zamora,Continental
Palencia,Continental
Len,Continental
Alacant/Alicante,Semidesertico
Zaragoza,Mediterraneo
Albacete,Continental
Valncia/Valencia,Mediterraneo
Pontevedra,Oceanico
Madrid,Continental
Araba/lava,Oceanico
Segovia,Montaa
Alacant/Alicante,Mediterraneo
Bizkaia,Oceanico
Asturias,Oceanico
Santa Cruz de Tenerife,Subtropical
Ciudad Real,Continental
Albacete,Montaa
Huelva,Mediterraneo
Crdoba,Mediterraneo
